player,season,GP_sum,MIN_sum,FG_accuracy,3P_accuracy,FT_accuracy,points_per_min,overall_shooting_accuracy
. Rufukatijiang,2019 - 2020,20,249.0,0.5833,nan,0.7037,0.5261,0.6098
A'uston Calhoun,2013 - 2014,26,528.0,0.4486,0.3043,0.62,0.4489,0.4548
A'uston Calhoun,2014 - 2015,17,627.0,0.4545,0.3478,0.8235,0.5104,0.4988
A'uston Calhoun,2018 - 2019,7,205.0,0.375,0.3077,0.9,0.3756,0.4052
A.C. Green,1999 - 2000,105,2358.0,0.4403,0.25,0.6949,0.2133,0.4891
A.C. Green,2000 - 2001,82,1411.0,0.4444,0.0,0.7117,0.2601,0.5057
A.D. Vassallo,2009 - 2010,32,1011.0,0.4539,0.4265,0.8182,0.5668,0.5046
A.D. Vassallo,2019 - 2020,36,941.5,0.4519,0.3812,0.8594,0.6362,0.4975
A.J. Bramlett,2002 - 2003,13,361.0,0.5899,nan,0.6709,0.6011,0.6193
A.J. Bramlett,2003 - 2004,48,1378.8,0.5486,0.0,0.478,0.3989,0.5278
A.J. Bramlett,2004 - 2005,27,807.0,0.4866,0.0,0.3333,0.3086,0.4389
A.J. Bramlett,2007 - 2008,10,295.9,0.4494,0.0,0.4571,0.3244,0.4444
A.J. Davis,2016 - 2017,35,814.8,0.4505,0.2551,0.7553,0.4418,0.4701
A.J. Gasporra,2013 - 2014,33,500.3,0.4694,0.4359,0.8571,0.4277,0.5292
A.J. Guyton,2005 - 2006,27,800.0,0.4172,0.3471,0.7231,0.4475,0.432
A.J. Hess,2017 - 2018,25,762.0,0.4331,0.3312,0.8519,0.5171,0.4649
A.J. Hess,2018 - 2019,13,230.4,0.3288,0.3864,1.0,0.2951,0.3667
A.J. Matthews,2013 - 2014,36,678.7,0.5736,nan,0.5392,0.5172,0.5639
A.J. Moye,2006 - 2007,68,2244.8,0.4634,0.3288,0.7696,0.466,0.5449
A.J. Moye,2007 - 2008,58,1634.8,0.4254,0.3231,0.76,0.3793,0.5096
A.J. Moye,2008 - 2009,64,1560.4,0.4118,0.2941,0.7568,0.3486,0.4909
A.J. Nywesh,2019 - 2020,14,438.4,0.439,0.3776,0.8125,0.5839,0.4729
A.J. Ogilvy,2010 - 2011,6,111.3,0.4865,nan,0.6875,0.4223,0.5472
A.J. Ogilvy,2012 - 2013,15,134.3,0.4524,nan,0.625,0.4319,0.527
A.J. Pacher,2014 - 2015,31,1246.0,0.5385,0.4444,0.7437,0.5313,0.5785
A.J. Pacher,2016 - 2017,28,949.0,0.5791,0.375,0.782,0.5269,0.5992
A.J. Price,2010 - 2011,5,80.0,0.3714,0.4375,0.9,0.525,0.4754
A.J. Price,2015 - 2016,34,1404.6,0.4298,0.3903,0.6856,0.7333,0.4518
A.J. Roberts,2018 - 2019,35,672.9,0.4468,0.3731,0.7097,0.2571,0.4603
A.J. Slaughter,2010 - 2011,27,669.0,0.4359,0.3689,0.7736,0.423,0.4641
A.J. Slaughter,2011 - 2012,42,1101.7,0.4304,0.3147,0.8,0.4475,0.4881
A.J. Slaughter,2012 - 2013,34,887.6,0.4935,0.395,0.7634,0.4777,0.5192
A.J. Slaughter,2013 - 2014,43,1423.7,0.4665,0.4122,0.8357,0.5303,0.5052
